recommendation_id,teacher_id,training_code,training_title,target_competency_code,relevance_score,expected_risk_reduction,explanation_fr,priority
R-PROG-ENS013,ENS013,F002,Architecture logicielle orientée services,PROG,0.4935,0.15,Recommande car gap 1 sur Programmation et stagnation >= 90 jours,MODEREE
R-RESEAU-ENS015,ENS015,F009,Architecture réseau et sécurité TCP/IP,RESEAU,0.9875,0.45,Recommande car gap 3 sur Reseaux et stagnation >= 90 jours,HAUTE
R-GC_STRU-ENS016,ENS016,F006,BIM et modélisation 3D,GC_STRU,0.4511,0.15,Recommande car gap 1 sur Structure Batiment et stagnation >= 90 jours,MODEREE
R-WEB_B-ENS017,ENS017,F005,Développement full-stack React,WEB_B,0.5311,0.15,Recommande car gap 1 sur Developpement Web Back et stagnation >= 90 jours,MODEREE
R-ANG-ENS018,ENS018,F011,Anglais technique et communication,ANG,0.3685,0.15,Recommande car gap 1 sur Anglais Technique et stagnation >= 90 jours,MODEREE
R-ALG-ENS019,ENS019,F001,Maîtrise des algorithmes avancés,ALG,0.5159,0.15,Recommande car gap 1 sur Algorithmique et stagnation >= 90 jours,MODEREE
R-BD-ENS020,ENS020,F003,Data Engineering et pipelines,BD,0.8507,0.45,Recommande car gap 3 sur Bases de Donnees et stagnation >= 90 jours,HAUTE
R-RESEAU-ENS021,ENS021,F009,Architecture réseau et sécurité TCP/IP,RESEAU,0.4774,0.15,Recommande car gap 1 sur Reseaux et stagnation >= 90 jours,MODEREE
R-SEC-ENS021,ENS021,F009,Architecture réseau et sécurité TCP/IP,SEC,0.3823,0.15,Recommande car gap 1 sur Securite Informatique et stagnation >= 90 jours,MODEREE
R-GC_MAT-ENS022,ENS022,F010,Matériaux de construction et durabilité,GC_MAT,0.9603,0.45,Recommande car gap 3 sur Matériaux et stagnation >= 90 jours,HAUTE
R-GC_STRU-ENS022,ENS022,F006,BIM et modélisation 3D,GC_STRU,0.4622,0.15,Recommande car gap 1 sur Structure Batiment et stagnation >= 90 jours,MODEREE
R-WEB_F-ENS023,ENS023,F005,Développement full-stack React,WEB_F,0.615,0.3,Recommande car gap 2 sur Developpement Web Front et stagnation >= 90 jours,MODEREE
R-WEB_B-ENS023,ENS023,F005,Développement full-stack React,WEB_B,0.4591,0.15,Recommande car gap 1 sur Developpement Web Back et stagnation >= 90 jours,MODEREE
R-GESTION-ENS024,ENS024,F008,Management de projet agile,GESTION,0.7165,0.3,Recommande car gap 2 sur Gestion de Projet et stagnation >= 90 jours,MODEREE
R-ANG-ENS024,ENS024,F011,Anglais technique et communication,ANG,0.686,0.3,Recommande car gap 2 sur Anglais Technique et stagnation >= 90 jours,MODEREE
R-PROG-ENS025,ENS025,F002,Architecture logicielle orientée services,PROG,0.4117,0.15,Recommande car gap 1 sur Programmation et stagnation >= 90 jours,MODEREE
R-RESEAU-ENS027,ENS027,F009,Architecture réseau et sécurité TCP/IP,RESEAU,1.0298,0.45,Recommande car gap 3 sur Reseaux et stagnation >= 90 jours,HAUTE
R-SEC-ENS027,ENS027,F004,Cybersécurité appliquée,SEC,0.4864,0.15,Recommande car gap 1 sur Securite Informatique et stagnation >= 90 jours,MODEREE
R-WEB_F-ENS029,ENS029,F005,Développement full-stack React,WEB_F,0.9207,0.45,Recommande car gap 3 sur Developpement Web Front et stagnation >= 90 jours,HAUTE
R-PED-ENS030,ENS030,F007,Pédagogie active par compétences,PED,0.7948,0.3,Recommande car gap 2 sur Pedagogie et stagnation >= 90 jours,MODEREE
R-ANG-ENS030,ENS030,F011,Anglais technique et communication,ANG,0.7852,0.3,Recommande car gap 2 sur Anglais Technique et stagnation >= 90 jours,MODEREE
